Carat,Clarity,Color,Cut,Depth,Price,Table,x,y,z
3.4,I1,D,Fair,66.8,15964,52,9.42,9.34,6.27
0.32,I1,D,Good,64,361,54,4.33,4.36,2.78
1.23,I1,D,Good,63.7,3977,58,6.72,6.79,4.3
1.23,I1,D,Good,63.7,4050,58,6.79,6.72,4.3
1.2,I1,D,Good,63.6,4346,60,6.72,6.67,4.26
0.32,I1,D,Good,64,468,54,4.36,4.33,2.78
0.51,I1,D,Ideal,62.1,1071,56,5.15,5.06,3.17
1.18,I1,D,Ideal,61.5,3886,62,6.88,6.73,4.19
0.68,I1,D,Ideal,123.9,413,112,8.969999999999999,9.01,5.57
1.29,I1,D,Ideal,61.3,5158,56,7.05,6.99,4.3
0.68,I1,D,Ideal,123.9,530,112,9.01,8.969999999999999,5.57
1.34,I1,D,Ideal,61.7,6303,55,7.12,7.08,4.38
0.52,I1,D,Ideal,61.1,971,57,5.18,5.2,3.17
1.11,I1,D,Premium,61.9,3589,58,6.63,6.66,4.11
1.11,I1,D,Premium,61.9,3655,58,6.66,6.63,4.11
1.16,I1,D,Premium,61.8,3711,59,6.78,6.74,4.18
1.02,I1,D,Premium,61.4,3769,60,6.42,6.47,3.96
1.5,I1,D,Premium,62.4,3780,60,7.37,7.19,4.54
1.02,I1,D,Premium,61.4,3838,60,6.47,6.42,3.96
1.14,I1,D,Premium,61.8,3950,59,6.62,6.74,4.13
1.5,I1,D,Premium,61.7,6300,62,7.28,7.24,4.48
0.92,I1,D,Very Good,63,2674,58,6.13,6.18,3.88
1.18,I1,D,Very Good,61.5,3816,62,6.73,6.88,4.19
0.8,I1,E,Fair,65.5,1232,54,5.84,5.68,3.78
0.7,I1,E,Fair,66.1,1273,58,5.61,5.51,3.67
0.9,I1,E,Fair,59.9,2138,66,6.18,6.14,3.69
0.61,I1,E,Good,63.4,1168,57.1,5.37,5.43,3.42
1.05,I1,E,Good,64.1,2066,58,6.46,6.32,4.09
0.91,I1,E,Good,57.7,2225,63,6.3,6.35,3.65
1.02,I1,E,Good,63.1,3051,60,6.31,6.4,4.01
1.52,I1,E,Good,57.3,3105,58,7.53,7.42,4.28
1.01,I1,E,Good,61.5,3484,65,6.28,6.21,3.84
1.21,I1,E,Good,63.3,3726,63,6.67,6.72,4.24
1.21,I1,E,Good,64,4201,57,6.73,6.67,4.29
1.5,I1,E,Good,62.4,4989,64,7.22,7.26,4.52
1.51,I1,E,Good,63.6,5647,60,7.3,7.26,4.63
1.68,I1,E,Good,64.3,5765,60,7.44,7.48,4.8
1.68,I1,E,Good,64.3,5871,60,7.48,7.44,4.8
1.73,I1,E,Good,63.6,8370,59,7.6,7.56,4.82
0.61,I1,E,Ideal,63.4,1255,57,5.43,5.37,3.42
1.01,I1,E,Ideal,62,3450,57,6.41,6.37,3.96
1,I1,E,Ideal,61.8,3520,56,6.38,6.43,3.96
1,I1,E,Ideal,61.8,3584,56,6.43,6.38,3.96
1.13,I1,E,Ideal,62,3797,55,6.7,6.66,4.14
1.1,I1,E,Ideal,61.9,3872,56,6.59,6.63,4.09
1.18,I1,E,Ideal,61.6,4153,56,6.79,6.82,4.19
1.18,I1,E,Ideal,61.6,4229,56,6.82,6.79,4.19
0.3,I1,E,Ideal,60.3,495,57,4.39,4.36,2.64
0.91,I1,E,Premium,59.6,2464,59,6.29,6.32,3.76
0.93,I1,E,Premium,62.3,2647,60,6.23,6.2,3.87
1,I1,E,Premium,62.3,3136,58,6.38,6.33,3.96
1.05,I1,E,Premium,62.2,3293,61,6.51,6.48,4.04
0.32,I1,E,Premium,60.9,345,58,4.38,4.42,2.68
1.24,I1,E,Premium,61.1,3528,62,6.91,6.86,4.21
1.19,I1,E,Premium,60.2,3572,61,6.91,6.87,4.15
1,I1,E,Premium,60.9,3584,61,6.41,6.37,3.89
1.29,I1,E,Premium,58.6,3901,60,7.18,7.12,4.19
1.12,I1,E,Premium,61,3942,59,6.7,6.74,4.1
1.18,I1,E,Premium,62.5,3965,58,6.75,6.62,4.18
1.5,I1,E,Premium,61.5,4032,58,7.38,7.2,4.5
0.43,I1,E,Premium,58.4,713,62,5,4.94,2.9
2.18,I1,E,Very Good,62,10340,60,8.25,8.33,5.14
0.9,I1,E,Very Good,62.4,2245,63,6.13,6.01,3.79
1,I1,E,Very Good,62.3,3080,58,6.33,6.38,3.96
1.02,I1,E,Very Good,60.6,3199,63,6.52,6.46,3.93
1.18,I1,E,Very Good,59.9,3278,63,6.85,6.8,4.09
1,I1,E,Very Good,63,3300,57,6.32,6.35,3.99
1.02,I1,E,Very Good,60.4,3455,62,6.47,6.52,3.92
1.19,I1,E,Very Good,60.2,3508,61,6.87,6.91,4.15
1.18,I1,E,Very Good,63.3,3965,57,6.7,6.64,4.22
1.44,I1,E,Very Good,61.1,5068,62,7.15,7.23,4.39
0.39,I1,E,Very Good,62.8,511,57,4.61,4.66,2.91
1.55,I1,E,Very Good,61.6,5974,58,7.42,7.52,4.6
0.5,I1,E,Very Good,58.6,938,63,5.23,5.15,3.04
0.7,I1,F,Fair,66.2,1087,59,5.59,5.4,3.65
0.91,I1,F,Fair,67,1570,62,5.97,5.89,3.98
0.97,I1,F,Fair,68.5,1787,54,6.26,6.05,4.22
1.04,I1,F,Fair,65.4,2134,60,6.39,6.3,4.15
1.51,I1,F,Fair,67.8,3734,59,7.09,7,4.78
1.45,I1,F,Fair,64.8,4320,67,7.16,7,4.64
1.33,I1,F,Fair,62,4698,56,7.05,7.01,4.36
0.5,I1,F,Fair,71,613,57,4.87,4.79,3.43
2,I1,F,Fair,66.1,6532,57,7.84,7.7,5.14
2,I1,F,Fair,64.9,7258,57,7.99,7.82,5.14
2.01,I1,F,Fair,58.7,7294,66,8.3,8.19,4.84
0.5,I1,F,Fair,57.5,827,66,5.3,5.17,3.01
0.58,I1,F,Fair,66.3,893,55,5.18,5.1,3.41
